member_supplier_name~membership_number~catalogue_name~brand_name~label_name~appa_product_code~product_code~product_name~product_code_group~categorisation~category_ /_sub category~Memento Category~additional_keywords~product_tags~discontinued_stock~product_description~description_additional~product_features~product_materials~product_item_size~product_packaging_inner~product_image_file_name~alternate_views_image_file_names~group_image_file_name~colours_available_appa~colours_available_supplier~colour_image_file_names~colour_product_codes~product_sizes~size_images~size_product_code~decoration_options_available~decoration_areas~indent_only~branded~custom_field_1~custom_field_2~custom_field_3~price_decoration_description~decoration position ~decoration color~decoration_type~price_product_code~price_notes~MOQ~IOQ~qty_1~sell_1~qty_2~sell_2~qty_3~sell_3~qty_4~sell_4~qty_5~sell_5~qty_6~sell_6~qty_7~sell_7~qty_8~sell_8~additional_charges_name1~additional_charge_value1~Set-up Charge~additional_charges_notes1~additional_charges_name2~additional_charge_value2~additional_charges_notes2~carton_height~carton_width~carton_depth~carton_weight~carton_qty~carton_cubic~carton_notes~freight_description~product_URL
~~~~~1~103M100087~Business Cards~~Print~Print/Business Cards~Stationery | Business Cards~~~No~Business cards printed on 300gsm matt finish board. The reverse can be printed in one colour or full colour.~~~~W 55mm x L 90mm.~Boxes of 125.~100087-0.jpg~~~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~~~~~~Digital Print~Digital Print 90mm x 55mm (plus bleed if required).~~~~~~~1 Position~Full Colour~Digital Print~~~250~~250~ 0.50 ~500~ 0.47 ~1000~0.43~2500~ 0.38 ~5000~ 0.34 ~~~~~~~Full Colour Print~0~50~~~~~30~7~15~1~500~0.0032~~~http://www.trendscollection.co.nz/item/100087
~~~~~1~103M100087~Business Cards~~Print~Print/Business Cards~Stationery | Business Cards~~~No~Business cards printed on 300gsm matt finish board. The reverse can be printed in one colour or full colour.~~~~W 55mm x L 90mm.~Boxes of 125.~100087-0.jpg~~~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~~~~~~Digital Print~Digital Print 90mm x 55mm (plus bleed if required).~~~~~~~2 Position~Full Colour~Digital Print~~~250~~250~ 0.57 ~500~ 0.54 ~1000~0.50~2500~ 0.45 ~5000~ 0.40 ~~~~~~~Full Colour Print~0~100~Printing on Reverse~0.04~~~30~7~15~1~500~0.0032~~~http://www.trendscollection.co.nz/item/100087
~~~~~2~103M100109~AD Labels 40 x 20mm~~Print~Print/Ad Labels~Stationery | Labels - Magnets~~~No~Standard sized permanent vinyl adhesive labels that are UV and solvent resistant.~~~~W 40mm x H 20mm.~Loose packed in sheets.~100109-0.jpg~~~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~~~~~~Digital Label~Digital Label As illustrated, print can bleed off on all sides.~~~~~~~1 Position~Full Colour~Digital Label~~~250~~250~ 0.22 ~500~ 0.19 ~1000~0.17~2500~ 0.17 ~5000~ 0.17 ~~~~~~~Full Colour Print~0~50~~0~~~7~30~30~1~1000~0.0063~~~http://www.trendscollection.co.nz/item/100109
~~~~~3~103M100110~AD Labels 55 x 24mm~~Print~Print/Ad Labels~Stationery | Labels - Magnets~~~No~Standard sized permanent vinyl adhesive labels that are UV and solvent resistant.~ ~~~W 55mm x H 24mm.~Loose packed in sheets.~100110-0.jpg~~~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~~~~~~Digital Label~Digital Label As illustrated, print can bleed off on all sides.~~~~~~~1 Position~Full Colour~Digital Label~~~250~~250~ 0.31 ~500~ 0.29 ~1000~0.28~2500~ 0.26 ~5000~ 0.25 ~~~~~~~Full Colour Print~0~50~~0~~~6~30~30~1~1000~0.0054~~~http://www.trendscollection.co.nz/item/100110
~~~~~4~103M100111~AD Labels 50 x 50mm~~Print~Print/Ad Labels~Stationery | Labels - Magnets~~~No~Standard sized permanent vinyl adhesive labels that are UV and solvent resistant.~~~~W 50mm x H 50mm.~Loose packed in sheets.~100111-0.jpg~~~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~~~~~~Digital Label~Digital Label As illustrated, print can bleed off on all sides.~~~~~~~1 Position~Full Colour~Digital Label~~~250~~250~ 0.55 ~500~ 0.54 ~1000~0.52~2500~ 0.48 ~5000~ 0.47 ~~~~~~~Full Colour Print~0~50~~0~~~9~30~30~1.5~1000~0.0081~~~http://www.trendscollection.co.nz/item/100111
~~~~~5~103M100112~AD Labels 60 x 40mm~~Print~Print/Ad Labels~Stationery | Labels - Magnets~~~No~Standard sized permanent vinyl adhesive labels that are UV and solvent resistant.~~~~W 60mm x H 40mm.~Loose packed in sheets.~100112-0.jpg~~~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~~~~~~Digital Label~Digital Label As illustrated, print can bleed off on all sides.~~~~~~~1 Position~Full Colour~Digital Label~~~250~~250~ 0.54 ~500~ 0.50 ~1000~0.50~2500~ 0.47 ~5000~ 0.45 ~~~~~~~Full Colour Print~0~50~~0~~~10~30~30~1.6~1000~0.009~~~http://www.trendscollection.co.nz/item/100112
~~~~~6~103M100113~AD Labels 70 x 50mm - House Shaped~~Print~Print/Ad Labels~Stationery | Labels - Magnets~~~No~Standard sized permanent vinyl adhesive labels that are UV and solvent resistant.~~~~W 70mm x H 50mm.~Loose packed in sheets.~100113-0.jpg~~~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~~~~~~Digital Label~Digital Label As illustrated, print can bleed off on all sides.~~~~~~~1 Position~Full Colour~Digital Label~~~250~~250~ 0.80 ~500~ 0.78 ~1000~0.76~2500~ 0.69 ~5000~ 0.69 ~~~~~~~Full Colour Print~0~50~~0~~~11~30~30~1.9~1000~0.0099~~~http://www.trendscollection.co.nz/item/100113
~~~~~7~103M100114~AD Labels 60mm - Circle~~Print~Print/Ad Labels~Stationery | Labels - Magnets~~~No~Standard sized permanent vinyl adhesive labels that are UV and solvent resistant.~~~~Dia 60mm.~Loose packed in sheets.~100114-0.jpg~~~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~~~~~~Digital Label~Digital Label As illustrated, print can bleed off on all sides.~~~~~~~1 Position~Full Colour~Digital Label~~~250~~250~ 0.67 ~500~ 0.66 ~1000~0.64~2500~ 0.60 ~5000~ 0.58 ~~~~~~~Full Colour Print~0~50~~0~~~14~30~30~2.4~1000~0.0126~~~http://www.trendscollection.co.nz/item/100114
~~~~~8~103M100115~AD Labels 90 x 25mm~~Print~Print/Ad Labels~Stationery | Labels - Magnets~~~No~Standard sized permanent vinyl adhesive labels that are UV and solvent resistant.~~~~W 90mm x H 25mm.~Loose packed in sheets.~100115-0.jpg~~~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~~~~~~Digital Label~Digital Label As illustrated, print can bleed off on all sides.~~~~~~~1 Position~Full Colour~Digital Label~~~250~~250~ 0.50 ~500~ 0.47 ~1000~0.45~2500~ 0.43 ~5000~ 0.42 ~~~~~~~Full Colour Print~0~50~~0~~~13~30~30~2~1000~0.0117~~~http://www.trendscollection.co.nz/item/100115
~~~~~9~103M100116~AD Labels 78 x 48mm~~Print~Print/Ad Labels~Stationery | Labels - Magnets~~~No~Standard sized permanent vinyl adhesive labels that are UV and solvent resistant.~~~~W 78mm x H 48mm.~Loose packed in sheets.~100116-0.jpg~~~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~white|yellow|orange|red|bright green|green|light blue|Blue|purple|Black~~~~~~Digital Label~Digital Label As illustrated, print can bleed off on all sides.~~~~~~~1 Position~Full Colour~Digital Label~~~250~~250~ 0.78 ~500~ 0.76 ~1000~0.74~2500~ 0.69 ~5000~ 0.68 ~~~~~~~Full Colour Print~0~50~~0~~~11~30~30~1.9~1000~0.0099~~~http://www.trendscollection.co.nz/item/100116
