member_supplier_name~membership_number~catalogue_name~brand_name~label_name~appa_product_code~product_code~product_name~product_code_group~categorisation~category_ /_sub category~Memento Category~additional_keywords~product_tags~discontinued_stock~product_description~description_additional~product_features~product_materials~product_item_size~product_packaging_inner~product_image_file_name~alternate_views_image_file_names~group_image_file_name~colours_available_appa~colours_available_supplier~colour_image_file_names~colour_product_codes~product_sizes~size_images~size_product_code~decoration_options_available~decoration_areas~indent_only~branded~custom_field_1~custom_field_2~custom_field_3~price_decoration_description~decoration position ~decoration color~decoration_type~price_product_code~price_notes~MOQ~IOQ~qty_1~sell_1~qty_2~sell_2~qty_3~sell_3~qty_4~sell_4~qty_5~sell_5~qty_6~sell_6~qty_7~sell_7~qty_8~sell_8~additional_charges_name1~additional_charge_value1~Set-up Charge~additional_charges_notes1~additional_charges_name2~additional_charge_value2~additional_charges_notes2~carton_height~carton_width~carton_depth~carton_weight~carton_qty~carton_cubic~carton_notes~freight_description~product_URL
1~S005115~Bags Stock - Grace Collection Products Catalogue V1~~~~14MG1000~Classic Sports Bag~Bags | Duffle & Sports Bags~~~Bags | Duffle & Sports Bags~~~NO~Zippered front pocket, Zippered pockets at each end, Large main compartment closes with double zip, Strong carry handle with wraparound velcro closure, Studded base for durability~~~600 Denier Nylon~60cm (W) x 33cm (H) x 27cm (D)~~G1000.jpg~~~Black/Yellow, Maroon/White, Navy/White, Black, Black/Red, Black/Royal~Black-Yellow, Maroon-White, Navy-White, Black, Black-Red, Black-Royal~~~~~~~Top Panel: 20cm (W) x 15cm (H), Front Panel: 25cm (W) x 15cm (H)~~~~~~~1 Position~1 Colour~Plastisol Transfer~~~~~25~35.17~50~33.39~100~33.06~250~28.19~~~ ~~~~~~~~75.00~~~~~~~~~16 units-box, 55cm x 37cm x 52cm, 21kg~~~~
1~S005115~Bags Stock - Grace Collection Products Catalogue V1~~~~14MG1000~Classic Sports Bag~Bags | Duffle & Sports Bags~~~Bags | Duffle & Sports Bags~~~NO~Zippered front pocket, Zippered pockets at each end, Large main compartment closes with double zip, Strong carry handle with wraparound velcro closure, Studded base for durability~~~600 Denier Nylon~60cm (W) x 33cm (H) x 27cm (D)~~G1000.jpg~~~Black/Yellow, Maroon/White, Navy/White, Black, Black/Red, Black/Royal~Black-Yellow, Maroon-White, Navy-White, Black, Black-Red, Black-Royal~~~~~~~Top Panel: 20cm (W) x 15cm (H), Front Panel: 25cm (W) x 15cm (H)~~~~~~~1 Position~Medium~Embroidery~~~~~25~37.00~50~33.63~100~33.31~250~28.47~~~ ~~~~~~~~75.00~~~~~~~~~16 units-box, 55cm x 37cm x 52cm, 21kg~~~~
2~~Bags Stock - Grace Collection Products Catalogue V2~~~~14MG1022~Align Sports Bag~Bags | Duffle & Sports Bags~~~Bags | Duffle & Sports Bags~~~NO~Large centre compartment with U-shaped opening, Large zippered pockets at each end, Removable, adjustable shoulder strap, Strong carry handle with wraparound and velcro closure, Studded base for durability~~~420 and 600 Denier Nylon~58cm (W) x 30cm (H) x 28cm (D)~~G1022.jpg~~~Maroon/White/Navy, Red/White/Black, Royal/White/Black~Maroon-White-Navy, Red-White-Black, Royal-White-Black~~~~~~~Top Panel: 25cm (W) x 15cm (H), Front Panel: 25cm (W) x 12cm (H)~~~~~~~1 Position~1 Colour~Plastisol Transfer~~~~~25~29.24~50~27.50~100~26.29~250~24.07~~~~~~~~~~~75.00~~~~~~~~~16 units-box, 57cm x 36cm x 55cm, 12.7kg~~~~
2~~Bags Stock - Grace Collection Products Catalogue V2~~~~14MG1022~Align Sports Bag~Bags | Duffle & Sports Bags~~~Bags | Duffle & Sports Bags~~~NO~Large centre compartment with U-shaped opening, Large zippered pockets at each end, Removable, adjustable shoulder strap, Strong carry handle with wraparound and velcro closure, Studded base for durability~~~420 and 600 Denier Nylon~58cm (W) x 30cm (H) x 28cm (D)~~G1022.jpg~~~Maroon/White/Navy, Red/White/Black, Royal/White/Black~Maroon-White-Navy, Red-White-Black, Royal-White-Black~~~~~~~Top Panel: 25cm (W) x 15cm (H), Front Panel: 25cm (W) x 12cm (H)~~~~~~~1 Position~Medium~Embroidery~~~~~25~31.14~50~27.75~100~26.53~250~24.37~~~~~~~~~~~75.00~~~~~~~~~16 units-box, 57cm x 36cm x 55cm, 12.7kg~~~~
3~~Bags Stock - Grace Collection Products Catalogue V3~~~~14MG1031~Churchill Sports Bag ~Bags | Duffle & Sports Bags~~~Bags | Duffle & Sports Bags~~~NO~Main compartment with zip closure and inside organizer, Front large zippered pocket with pen holders, Mesh pocket at the front, Name card holder at the back, Adjustable shoulder strap with carry handle, Structured 6-panel~~~600 Denier Nylon~40cm (W) x 31cm (H) x 10cm (D)~~G1031.jpg~~~Royal/Black, Rust/Black, Black/Khaki, Black/Black~Royal-Black, Rust-Black, Black-Khaki, Black-Black~~~~~~~12cm (W) x 10cm (H)~~~~~~~1 Position~1 Colour~Plastisol Transfer~~~~~25~23.18~50~21.67~100~20.65~250~18.84~~~~~~~~~~~75.00~~~~~~~~~30 units-box, 48cm x 33.5cm x 50cm, 16.5kg~~~~
3~~Bags Stock - Grace Collection Products Catalogue V3~~~~14MG1031~Churchill Sports Bag ~Bags | Duffle & Sports Bags~~~Bags | Duffle & Sports Bags~~~NO~Main compartment with zip closure and inside organizer, Front large zippered pocket with pen holders, Mesh pocket at the front, Name card holder at the back, Adjustable shoulder strap with carry handle, Structured 6-panel~~~600 Denier Nylon~40cm (W) x 31cm (H) x 10cm (D)~~G1031.jpg~~~Royal/Black, Rust/Black, Black/Khaki, Black/Black~Royal-Black, Rust-Black, Black-Khaki, Black-Black~~~~~~~12cm (W) x 10cm (H)~~~~~~~1 Position~Medium~Embroidery~~~~~25~25.09~50~21.92~100~20.89~250~19.14~~~~~~~~~~~75.00~~~~~~~~~30 units-box, 48cm x 33.5cm x 50cm, 16.5kg~~~~
4~~Bags Stock - Grace Collection Products Catalogue V4~~~~14MG1050~Nylon Sports Bag~Bags | Duffle & Sports Bags~~~Bags | Duffle & Sports Bags~~~NO~Large centre compartment with dual zip closure, Large zippered pocket at 1 end, Strong carry handle with wraparound and velcro closure~~~Tough Textured Nylon~52cm (W) x 31cm (H) x 31cm (D)~~G1050.jpg~~~Navy, Red, Royal, Black, Bottle, Maroon~Navy, Red, Royal, Black, Bottle, Maroon~~~~~~~Top Panel: 25cm (W) x 10cm (H), Front Panel: 16cm (W) x 18cm (H)~~~~~~~1 Position~1 Colour~Plastisol Transfer~~~~~25~26.64~50~25.00~100~23.87~250~21.83~~~~~~~~~~~75.00~~~~~~~~~16 units-box, 49cm x 37cm x 38cm, 14.5kg~~~~
4~~Bags Stock - Grace Collection Products Catalogue V4~~~~14MG1050~Nylon Sports Bag~Bags | Duffle & Sports Bags~~~Bags | Duffle & Sports Bags~~~NO~Large centre compartment with dual zip closure, Large zippered pocket at 1 end, Strong carry handle with wraparound and velcro closure~~~Tough Textured Nylon~52cm (W) x 31cm (H) x 31cm (D)~~G1050.jpg~~~Navy, Red, Royal, Black, Bottle, Maroon~Navy, Red, Royal, Black, Bottle, Maroon~~~~~~~Top Panel: 25cm (W) x 10cm (H), Front Panel: 16cm (W) x 18cm (H)~~~~~~~1 Position~Medium~Embroidery~~~~~25~28.55~50~25.25~100~24.11~250~22.13~~~~~~~~~~~75.00~~~~~~~~~16 units-box, 49cm x 37cm x 38cm, 14.5kg~~~~
5~~Bags Stock - Grace Collection Products Catalogue V5~~~~14MG1057~Toiletry Bag~Bags | Toiletry Bags~~~Bags | Toiletry Bags~~~NO~Main compartment with zipper open to hold toiletry items, Large front flap with zippered pocket and single buckle closure, Zippered pocket on both sides, Carry handle~~~600 Denier Nylon and Honeycomb Textured~30cm (W) x 24cm (H) x 11cm (D)~~G1057_A.jpg, G1057_B.jpg, G1057_C.jpg~~~Black/White/Charcoal~Black-White-Charcoal~~~~~~~Front Panel: 10cm (W) x 5cm (H)~~~~~~~1 Position~1 Colour~Plastisol Transfer~~~~~25~26.99~50~25.33~100~24.19~250~22.13~~~~~~~~~~~75.00~~~~~~~~~25 units-box, 60cm x 33cm x 30cm, 14kg~~~~
5~~Bags Stock - Grace Collection Products Catalogue V5~~~~14MG1057~Toiletry Bag~Bags | Toiletry Bags~~~Bags | Toiletry Bags~~~NO~Main compartment with zipper open to hold toiletry items, Large front flap with zippered pocket and single buckle closure, Zippered pocket on both sides, Carry handle~~~600 Denier Nylon and Honeycomb Textured~30cm (W) x 24cm (H) x 11cm (D)~~G1057_A.jpg, G1057_B.jpg, G1057_C.jpg~~~Black/White/Charcoal~Black-White-Charcoal~~~~~~~Front Panel: 10cm (W) x 5cm (H)~~~~~~~1 Position~Medium~Embroidery~~~~~25~28.89~50~25.58~100~24.44~250~22.43~~~~~~~~~~~75.00~~~~~~~~~25 units-box, 60cm x 33cm x 30cm, 14kg~~~~
